spec,lags,equation,regressor,coef,se,t,p,n_obs,n_countries
S3_lag2,2,education_years,d_gini_disp_l1,0.0023113300012569163,0.0026082480911183282,0.8861618682392657,0.37560368313087,3054,115
S3_lag2,2,education_years,d_gini_disp_l2,-0.00013689560202783752,0.003083231515528711,-0.04440003980835112,0.964588582557274,3054,115
S3_lag2,2,education_years,d_v2x_corr_l1,0.007383798740592636,0.014940964465667334,0.4941982666219293,0.6212035429004739,3054,115
S3_lag2,2,education_years,d_v2x_corr_l2,-0.009457889759580406,0.019255683952633853,-0.4911739194954291,0.6233405600464581,3054,115
S3_lag2,2,education_years,d_education_years_l1,0.8637850275214446,0.005224860555112523,165.32212073607045,0.0,3054,115
S3_lag2,2,education_years,d_education_years_l2,-0.11424177642683797,0.007117634601605262,-16.050525605946767,0.0,3054,115
S4_lag2,2,gini_disp,d_gini_disp_l1,0.6279789920092537,0.03919811059291247,16.020644426744397,0.0,3062,121
S4_lag2,2,gini_disp,d_gini_disp_l2,0.004811267326595915,0.03260641667137638,0.1475558438416049,0.8827035414664361,3062,121
S4_lag2,2,gini_disp,d_v2x_corr_l1,0.04254491144895399,0.19781320563281213,0.21507619429578104,0.8297230059486369,3062,121
S4_lag2,2,gini_disp,d_v2x_corr_l2,0.18229210277508504,0.1763817426633054,1.0335089109708022,0.30145180223689505,3062,121
S4_lag2,2,gini_disp,d_trade_open_l1,0.0009710056260978082,0.001032181763015521,0.9407312363871004,0.34692079708048595,3062,121
S4_lag2,2,gini_disp,d_trade_open_l2,0.00026622077201835496,0.00043244721364092925,0.6156144926381792,0.5381971931855409,3062,121
S4_lag2,2,v2x_corr,d_gini_disp_l1,0.0017016514860873847,0.002104540316502417,0.8085620754062806,0.4188332741868446,3062,121
S4_lag2,2,v2x_corr,d_gini_disp_l2,-0.0008485031053641178,0.001989770650807571,-0.4264326167539677,0.6698242240567036,3062,121
S4_lag2,2,v2x_corr,d_v2x_corr_l1,0.0522127217780397,0.02690946413932733,1.9403107214510624,0.052438551988913895,3062,121
S4_lag2,2,v2x_corr,d_v2x_corr_l2,-0.01297496138967656,0.019245006042218522,-0.6741988732668038,0.500238511067344,3062,121
S4_lag2,2,v2x_corr,d_trade_open_l1,2.1072218439046705e-05,8.880488098438595e-05,0.23728671448534133,0.8124510944825858,3062,121
S4_lag2,2,v2x_corr,d_trade_open_l2,8.936518259249234e-05,6.67586469726266e-05,1.3386308237962825,0.18079559894650132,3062,121
S4_lag2,2,trade_open,d_gini_disp_l1,0.09939987866508655,0.6570871111758758,0.15127351758156948,0.8797704586738493,3062,121
S4_lag2,2,trade_open,d_gini_disp_l2,0.15401924549536636,0.36001263795905686,0.42781621880974774,0.6688166286793351,3062,121
S4_lag2,2,trade_open,d_v2x_corr_l1,-3.760541901396272,3.681467260051464,-1.021479110300088,0.3071125284860099,3062,121
S4_lag2,2,trade_open,d_v2x_corr_l2,-0.9325541047958181,5.974103859164781,-0.1560994128626005,0.8759655036992211,3062,121
S4_lag2,2,trade_open,d_trade_open_l1,-0.049254888816176075,0.03805748731034513,-1.2942233525434865,0.19569112117996923,3062,121
S4_lag2,2,trade_open,d_trade_open_l2,-0.1244531895646965,0.03199041517943426,-3.890327426719487,0.00010235419175597116,3062,121
S5_lag2,2,gini_disp,d_gini_disp_l1,0.5063918446604141,0.09768177508953144,5.184097485905374,2.321322409848392e-07,3027,122
S5_lag2,2,gini_disp,d_gini_disp_l2,0.06772068815029401,0.045252448583480216,1.49650881377977,0.13463106925740753,3027,122
